Bars, Displacements, Ultimate - Load case: DeadLoad
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'	Case
[-]	[m]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
B.4.1	4.472	0.000	0.000	0.000	0.000	-0.020	0.000	IL
B.5.1	0.000	0.002	0.000	-0.000	0.000	0.030	0.000	IL
B.5.1	0.280	0.002	0.000	-0.000	0.000	0.030	0.000	IL
B.5.1	0.559	0.002	0.000	-0.000	0.000	0.030	0.000	IL
B.5.1	0.839	0.002	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	1.118	0.003	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	1.118	0.003	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	1.398	0.003	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	1.677	0.003	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	1.957	0.003	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	2.236	0.003	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	2.236	0.003	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	2.516	0.003	0.000	-0.001	0.000	0.030	0.000	IL
B.5.1	2.795	0.004	0.000	-0.002	0.000	0.030	0.000	IL
B.5.1	3.075	0.004	0.000	-0.002	0.000	0.030	0.000	IL
B.5.1	3.354	0.004	0.000	-0.002	0.000	0.030	0.000	IL
B.5.1	3.354	0.004	0.000	-0.002	0.000	0.030	0.000	IL
B.5.1	3.634	0.004	0.000	-0.002	0.000	0.030	0.000	IL
B.5.1	3.913	0.004	0.000	-0.002	0.000	0.030	0.000	IL
B.5.1	4.193	0.004	0.000	-0.002	0.000	0.030	0.000	IL
B.5.1	4.472	0.004	0.000	-0.002	0.000	0.030	0.000	IL
B.6.1	0.000	-0.005	0.000	-0.002	0.000	0.019	0.000	IL
B.6.1	0.280	-0.005	0.000	-0.002	0.000	0.019	0.000	IL
B.6.1	0.559	-0.005	0.000	-0.002	0.000	0.019	0.000	IL
B.6.1	0.839	-0.005	0.000	-0.002	0.000	0.019	0.000	IL
B.6.1	1.118	-0.005	0.000	-0.002	0.000	0.019	0.000	IL
B.6.1	1.118	-0.005	0.000	-0.002	0.000	0.019	0.000	IL
B.6.1	1.398	-0.005	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	1.677	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	1.957	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	2.236	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	2.236	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	2.516	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
B.6.1	2.795	-0.006	0.000	-0.003	0.000	0.019	0.000	IL
